DateTime,AddedIPs,RemovedIPs
1543045692,20,18
1543047622,16,18
1543049552,17,17
1543051473,17,18
1543053390,16,11
1543055293,2,10
1543057488,5,8
1543061318,21,48
1543063221,30,15
1543065164,19,23
1543067312,14,24
1543069233,21,24
1543073087,25,36
1543074992,28,22
1543078836,24,40
1543080759,19,20
1543082662,18,21
1543084597,27,22
1543088411,32,35
1543094456,15,66
1543096338,17,9
1543098270,23,19
1543100190,15,11
1543102108,28,0
1543104056,9,26
1543105953,16,14
1543108100,14,14
1543110027,26,18
1543111957,15,12
1543113872,15,24
1543115781,12,20
1543121530,18,60
1543123468,17,26
1543129476,20,54
1543131639,22,33
1543133783,24,16
1543135706,16,18
1543139529,22,17
1543141478,10,6
1543143372,11,11
1543145554,17,25
1543147453,24,19
1543149368,22,19
1543151307,30,25
1543153213,32,26
1543155378,20,20
1543157293,29,30
1543159213,19,15
1543163051,26,47
1543166889,15,43
1543168821,11,20
1543170734,30,26
1543172671,18,18
1543174567,25,0
1543176506,19,24
1543178651,27,13
1543180576,9,19
1543182490,20,33
1543184413,21,18
1543186354,16,22
1543188248,21,0
1543190185,17,20
1543192085,17,0
1543201933,19,103
1543205784,17,19
1543215619,21,106
1543217548,21,15
1543219457,14,20
1543221385,25,22
1543223311,17,21
1543225213,17,19
1543229069,9,18
1543234816,30,66
1543236751,23,0
1543238656,24,44
1543240592,19,22
1543242487,25,0
1543244656,32,0
1543246839,16,25
1543248733,21,16
1543250670,25,30
1543252576,20,28
1543256652,14,42
1543258586,15,17
1543260911,18,16
1543262899,14,21
1543266735,14,25
1543268669,25,28
1543270573,14,14
1543272488,19,22
1543274409,17,0
1543276330,11,15
1543280170,19,34
1543284074,17,20
1543285957,21,0
1543293858,27,41
1543295781,9,20
1543299659,19,37
1543301552,16,20
1543303468,16,18
1543305391,25,17
1543307287,28,20
1543309239,12,22
1543311135,17,16
1543313078,21,11
1543314975,2,0
1543316923,9,4
1543320761,13,55
1543322671,17,27
1543324602,20,27
1543326516,14,21
1543328437,11,21
1543330353,15,24
1543332511,11,24
1543336352,16,33
1543338522,12,33
1543340430,16,20
1543342357,15,19
1543344497,14,19
1543346459,18,20
1543348508,17,13
1543350485,11,13
1543352681,9,43
1543354832,16,29
1543356734,12,34
1543358672,20,21
1543360571,9,22
1543362517,12,22
1543364412,8,28
1543366335,19,25
1543368252,18,20
1543374255,11,38
1543376168,17,30
1543378109,9,18
1543380020,15,24
1543381962,15,21
1543383860,23,28
1543385802,19,16
1543387955,16,21
1543391775,22,33
1543393959,15,28
1543395872,17,0
1543399725,11,38
1543403560,7,7
1543405466,3,0
1543411223,26,63
1543413155,15,10
1543417234,23,44
1543419389,20,24
1543421382,12,17
1543423217,24,21
1543425158,27,19
1543427076,20,23
1543428988,18,23
1543433058,20,17
1543434996,15,16
1543436916,20,21
1543438828,19,22
1543440759,12,12
1543442921,20,20
1543444833,11,43
1543448658,22,20
1543450822,8,24
1543452752,18,21
1543456596,14,36
1543458507,20,7
1543462356,14,28
1543464273,20,18
1543466412,16,19
1543468386,12,10
1543472202,22,30
1543474122,22,15
1543476032,25,0
1543477955,22,49
1543479873,33,17
1543483966,11,39
1543487792,6,13
1543489722,10,4
1543491640,16,9
1543493562,11,0
1543495461,20,7
1543497392,28,0
1543499314,26,21
1543501217,30,0
1543503160,16,47
1543505076,36,0
1543509155,28,29
1543512990,23,34
1543516838,26,24
1543518743,16,15
1543520654,33,25
1543522603,15,22
1543524501,14,21
1543526438,10,9
1543528336,21,16
1543532212,14,57
1543534115,19,29
1543536023,21,25
1543537938,19,23
1543539894,18,33
1543541771,19,18
1543543959,14,14
1543545852,18,18
1543547802,26,21
1543549721,14,18
1543553558,22,39
1543557394,22,32
1543559312,27,20
1543561225,23,21
1543563142,15,24
1543565060,29,22
1543567000,25,26
1543568925,27,26
1543570842,18,25
1543573009,10,11
1543574891,12,6
1543576834,10,8
1543580675,29,20
1543584515,21,46
1543586441,18,30
1543588342,28,28
1543590280,18,35
1543592185,26,22
1543594165,24,20
1543596017,19,20
1543597939,14,18
1543599876,21,18
1543601784,33,13
1543603714,26,24
1543605619,30,16
1543607555,29,9
1543609693,25,17
1543615966,17,57
1543617857,23,19
1543619782,18,11
1543621957,18,19
1543623852,25,22
1543625793,23,8
1543628202,12,24
1543630098,17,15
1543632032,20,11
1543634183,26,15
1543636109,20,0
1543638018,21,16
1543639937,24,12
1543641874,17,40
1543643770,25,0
1543645692,25,19
1543647636,29,20
1543649553,43,21
1543651455,24,21
1543653390,25,16
1543655295,27,23
1543657209,17,16
1543659133,11,18
1543661057,10,3
1543664891,21,4
1543666822,25,19
1543668749,19,26
1543670651,31,24
1543672834,19,15
1543674737,24,18
1543676655,15,0
1543678588,15,24
1543680537,20,28
1543682412,20,0
1543684357,13,25
1543686253,21,20
1543688176,12,20
1543690094,21,29
1543692020,20,0
1543693954,17,29
1543697774,20,0
1543699693,21,15
1543701635,15,18
1543703559,24,25
1543705464,20,12
1543707379,16,23
1543709322,18,10
1543711215,14,13
1543713141,18,12
1543715056,18,21
1543716979,26,16
1543718917,29,15
1543720816,25,15
1543722745,32,0
1543724655,25,0
1543726572,21,23
1543728499,19,19
1543730441,18,0
1543732337,19,0
1543734261,28,0
1543736181,27,21
1543738097,25,18
1543740012,23,25
1543741942,11,16
1543743865,13,0
1543745782,9,28
1543747696,6,11
1543749630,19,12
1543751533,27,15
1543753476,19,21
1543755393,23,23
1543757291,11,29
1543761143,19,54
1543763078,17,29
1543764971,27,21
1543766963,28,0
1543768834,12,25
1543770757,24,0
1543772676,22,20
1543774600,14,13
1543778668,19,53
1543780833,11,27
1543782983,16,16
1543784921,21,26
1543786833,17,11
1543790676,29,44
1543794755,21,31
1543796670,19,20
1543798574,23,21
1543800512,21,0
1543802440,25,0
1543804357,19,0
1543806280,18,0
1543808166,19,16
1543810357,14,0
1543812257,17,21
1543814191,17,0
1543816087,23,0
1543820176,20,0
1543822092,17,20
1543824024,19,22
1543825937,24,19
1543829781,18,48
1543831957,7,16
1543833858,1,0
1543835785,24,8
1543837936,20,0
1543841767,26,51
1543843944,11,25
1543845863,12,23
1543847791,8,25
1543849958,14,22
1543851860,22,18
1543853782,16,27
1543855698,9,24
1543857616,13,26
1543859538,15,0
1543861472,11,13
1543863372,12,0
1543866048,23,31
1543867965,22,12
1543869871,11,0
1543871772,12,14
1543877791,11,54
1543879718,21,19
1543881880,13,15
1543883800,20,0
1543885722,17,22
1543887638,22,0
1543889563,17,15
1543891717,27,16
1543893873,25,0
1543895792,11,0
1543899679,24,23
1543901558,14,5
1543905402,36,22
1543907324,23,14
1543909244,22,16
1543911141,22,27
1543913075,22,28
1543915001,15,18
1543916910,32,10
1543921009,10,22
1543923139,22,9
1543925564,27,13
1543927468,20,0
1543929369,26,22
1543931311,26,19
1543933205,25,12
1543935127,18,15
1543937068,31,13
1543938998,23,11
1543940914,22,0
1543942823,20,16
1543944757,19,10
1543946659,20,19
1543948596,15,14
1543950522,8,11
1543955057,15,41
1543956970,16,13
1543958893,24,6
1543960982,15,21
1543964920,16,33
1543966825,25,9
1543969014,13,13
1543970910,20,7
1543972837,17,16
1543974742,11,20
1543976655,22,0
1543982686,14,34
1543984589,15,9
1543986507,27,13
1543990604,16,48
1543992737,11,0
1543994675,24,23
1543996594,22,20
1543998744,20,0
1544000926,26,31
1544002836,16,0
1544004760,10,8
1544006674,10,0
1544008582,11,6
1544010756,21,9
1544012677,18,0
1544016759,21,21
1544018684,19,10
1544020599,29,0
1544022499,22,16
1544024438,24,15
1544026645,17,17
1544028528,16,21
1544030676,38,26
1544032590,14,20
1544034492,14,17
1544036423,15,0
1544038348,16,19
1544040285,18,17
1544042168,12,17
1544044366,16,16
1544046252,19,16
1544048318,16,18
1544052282,14,15
1544054167,16,22
1544056092,9,12
1544058260,15,19
1544060440,16,0
1544062339,19,13
1544064254,14,16
1544066183,15,0
1544068336,12,16
1544070274,23,22
1544072199,25,15
1544074359,7,10
1544076285,13,0
1544078200,18,25
1544080360,23,18
1544082251,14,19
1544084421,21,17
1544086360,16,30
1544088273,7,0
1544090169,21,11
1544092112,4,0
1544094046,15,8
1544095939,11,11
1544097876,11,15
1544099799,13,10
1544101716,12,22
1544103609,19,25
1544105541,22,23
1544107453,22,25
1544109400,23,12
1544111290,19,30
1544113214,18,0
1544115135,19,30
1544117072,20,0
1544118971,16,24
1544120892,21,0
1544122837,18,27
1544124737,24,12
1544126672,18,23
1544128571,14,16
1544130529,18,15
1544132433,23,6
1544134360,19,19
1544136256,20,0
1544138235,24,14
1544140336,20,16
1544142276,19,18
1544144191,11,17
1544146110,19,20
1544148021,28,17
1544149960,20,17
1544151856,18,16
1544153802,11,20
1544155695,20,17
1544157619,21,0
1544159547,22,28
1544161453,16,0
1544163372,19,24
1544165302,31,30
1544167493,26,21
1544169379,14,18
1544171311,26,30
1544173237,16,25
1544175163,12,28
1544177089,17,21
1544178971,22,7
1544180925,20,10
